Abandonment;A procedure by which a party gives up civil proceedings or an appeal.
Repel;A court does not overrule a plea or an objection, it repels it. The opposite is to sustain (or uphold).
Repone;To repone a defender is to restore him to his position as a litigant when decree in absence has been given against him. Also competent in, eg case of failure to lodge documents in appeal to Court of Session.
Reporter;(1) A person appointed to conduct a public inquiry. (2) A person, usually a lawyer or other professional person appointed by a court to investigate an aspect of a case. (3) The officer responsible for bringing cases before children's hearings and proceedings from hearings before ths sheriff. (4) A person who compiles the published report of a case decided by the courts.
Residence Order;A formal order by a court stating with whom a child of a relationship should stay.
Resident sheriff;A sheriff who holds a commission to sit as a full-time or permanent sheriff at a particular sheriff court.
Res ipsa loquitur;The thing done or the transaction speaks for itself. Proof of an event raises a rebuttable presumption of liability.
Res judicata;A question decided in competent legal proceedings, which cannot again be raised.
Respondent;(1) A person who enters the process of a petition to oppose it. (2) The person against whom an appeal to a higher court from a lower court is made.
Restriction of liberty order (ROLO);An order imposed as an alternative to imprisonment restricting an offender's movements whereby he or she is to remain in or is excluded from a specified place for specified periods of time.
Review;Revision by a higher court on appeal.
Rolls;Official lists of cases as set down for hearing, depending on the type of case or the stage of the proceedings. For example, the Motion Roll, Single Bills, Summar Roll, Options hearing.
ROLO;Restriction of liberty order.
Roup;Public auction.
Rubric;A chapter heading.
Scottish statutory instrument (S.S.I.);The form in which subordinate legislation, that is orders, rules and regulations etc under an Act of Parliament are made by the Scottish Parliament.
Second Division;One of the Divisions of the Inner House of the Court of Session presided over by the Lord Justice Clerk.
Section 76 indictment/letter;An accused person charged with a serious offence may give notice in writing that he intends to plead guilty to an indictment under section 76 of the Criminal Procedure (Scotland) Act 1995.
Senator of the College of Justice;Judges of the Court of Session and the High Court of Justiciary, the supreme courts of Scotland, are appointed by HM Queen as senators of the College of Justice created in 1532.
Separatim;Apart from anything already advanced or pleaded.
Sequestration;(1) To render bankrupt. Strictly, it is a person's estate which is sequestrated or set aside for the use of his creditors. (2)To sequestrate for rent is to take the furniture, etc., on leased premises to satisfy a claim for rent.
Service of heir;The court process by which an heir proves and acquires a right or title to real estate of an ancestor.
Sex Offenders' Register;The Sexual Offences Act 2003 does not use this expression, though it is used commonly. The Act refers to notification requirements for offenders convicted of certain sexual offences.
Sheriff;The judge who presides in the sheriff court. There are 49 sheriff court houses.
Sheriff officer;An officer of the sheriff court responsible for serving documents and executing orders of the sheriff court.
Sheriff principal;A judge appointed to be in charge, and responsible for the speedy and efficient disposal of business, of a sheriffdom. He or she is also a judge to whom a litigant may appeal a decision from a sheriff.
Signet;A summons in the Court of Session, the writ by which an action is raised in that court as distinct from a petition, must have the signet or seal of the Sovereign bearing the Royal Court of Arms embossed upon it to authorise execution, that is service of the writ on a defender. The Keeper of the Signet is the Lord Clerk Register who on 3rd May 1976 granted a commission to the Principal Clerk of Session (and clerks authorised by him) to signet summonses which was formerly done by members of the Society of Writers to HM Signet.
Sine die;Indefinitely; without a day being fixed.
Sine qua non;Without which nothing can be effectually done.
Single Bills;A Roll for motions and some civil reclaiming motions or appeals in the Inner House of the Court of Session.
Sist;(1) To stay or stop proceedings from continuing in the meantime. (2) To summon or call someone as a party, e.g,sisting a mandatory, or a person seeking to become a party to civil proceedings.
Small claim;Civil proceedings for payment, delivery, repossession, implement of obligation where the monetary claim does not exceed &pound;3000.
Solatium;The damages sought and awarded in actions for personal injuries or death of a relative primarily for pain and suffering.
Solemn proceedings;Serious criminal offences are prosecuted on indictment befor a judge and jury of 15 persons. These proceedings are called "solemn proceedings" as distinct from summary proceedings befor a sheriff or justice(s) of the peace sitting without a jury.
Specific implement;An order of court requiring a person to carry out an obligation under contract or at common law.
Specification of documents;Where documents are sought to be used to prove a case and are in the possession of another party in the case or some person who is not a party, they may be sought to be recovered by that other person on application to the court. A motion for recovery of documents must be accompanied by a document called a specification of documents which sets out the particular documents or categories of documents sought to be recovered.
Starred motion;A motion in the Court of Session for which appearance is required by or for a party to the proceedings.
Stated Case;(1) Where an appeal is made against a decision to convict or not to convict a person on summary complaint, the judge must prepare a stated case which sets out the facts and questions for the Justiciary Appeal Court This is a formal document. If the offender wishes to appeal against sentence only (i.e. the severity) the appeal is by note of appeal. (2) Where a party appeals to a sheriff principal against a decision in a summary cause or a small claim, which may only be on a point of law, the sheriff must prepare a stated case.
Statute;An Act of Parliament.
Statutory instrument (S.I.);The form in which subordinate legislation, that is orders, rules and regulations etc made under a UK Act of Parliament are made superseding, since 1947, statutory rules and orders.
Stipendary magistrate;A legally qualified judge who hears criminal cases in summary proceedings on summary complaint.
Style;A form of a document used as a model for similar documents.
Subordinate legislation;This is an order, rule, regulation, etc., made under an Act of Parliament.
Summar Roll;A roll in the Inner House of the Court of Session for the hearing of reclaiming motions and civil appeals.
Summary application;This is form of application in the sheriff court for a variety of statutory applications, including certain kinds of statutory appeal to the sheriff as distinct from an initial writ, small claim or summary cause.
Summary cause;This is the form of simplified procedure applicable to civil cases in the sheriff court with a limit of &pound;5000 in the case of monetary claims. Certain actions for the recovery of heritable property must also be by summary cause.
Summary complaint;Less serious criminal offences are prosecuted on summary complaint before a court of summary jurisdiction, that is a sheriff sitting alone, a stipendary magistrate or in a Justice of the Peace Court. More serious cases are prosecuted on indictment under solemn proceedings, that is before a jury.
Summary decree;A final decision on part or all of a defence to an action or defence to a counterclaim on the basis that the defence does not in fact disclose a defence.
Summary warrant;This is a warrant issued by the sheriff to, e.g, a local authority authorising diligence for the recovery of arrears of council tax.
Summons;The form of writ initiating an action in the Court of Session. It is issued in name of the sovereign, containing a royal mandate to messengers-at-arms to cite the defender to the court.
Supervised attendance order (SAO);A sentence in stead of a fine on an offender convicted of an offence of not more than 100 hours supervision by a social worker.
Supervised release order;An order on an offender convicted on indictment of an offence other than a sexual offence who is sentenced to imprisonment or detention for less than four years where it is necessary to protect the public from serious harm from the offender on his release.
Supra citatum (Sup cit or supra);Above cited.
Taxation;As applied to solicitors' or advocates' fees, including those incurred in court proceedings, means the scrutiny of the account by the Auditor of Court to exclude or amend items unjustifiably included or excessively charged.
Teinds Tithes;The tenth part of the annual produce of land out of which a minister's wage was originally payable.
Temporary judge;A lawyer, sheriff principal or sheriff appointed to sit as an additional judge on a temporary basis in the High Court of Justiciary or the Court of Session.
Terce;The widow's legal right of dower in real estate.
Third party;(1) The name of a party brought into civil proceedings by a defender because that third party may be liable in addition to or instead of the defender to the pursuer. (2) Someone other than the parties to a transaction.
Tithe;The tenth part of the increase annually arising from the profits of land and stock, allotted to the clergy.
Trial;Criminal proceedings (when an accused person has pled not guilty) where the court hears the evidence of witnesses to the alleged crime(s).
Trial diet;The day on which a trial on indictment or on summary complain in criminal proceedings at which evidence is to be led will be heard.
Tribunal;A person or body of persons other than a court of law, having power to determine claims or disputes of some particular nature.
Tutor tutrix;The former title of the guardian of an infant.
Ultimus haeres;Last heir. The Crown is ultimus haeres.
Ultra vires;Without authority.
Vitious intromission;The taking of possession of property of a deceased without authority. A person who does this is liable for all the debts of the deceased.
Verdict;The decision of a jury on the matter or matters submitted to it by the court.
Vest (seised);A person is seised or vested in property when it becomes that person's property by legal right or authority.
Vexatious litigant;A person who takes proceedings primarily for the annoyance or embarrassment of the defender and whose activities in raising actions may be restrained by the Court of Session.
Volenti non fit injuria;Accepting the risk of injury.
Warrandice;Absolute warrandice is a warranting or assuring of property against all claims whatever.
Warrant;A written authority, e.g. from court, authorising certain actions such as an arrest of a person, a search of premises or an eviction of occupiers. Also used to signify a document evidencing a right of some kind, e.g. in a title to heritable property. Also the formal authority by the court to cite a person to appear before it.
Writs;(1) Documents of title to heritable property. (2) Initiating documents in court proceedings are sometimes called writs, e.g., the initial writ by which certain civil actions are raised in the sheriff court.
Your Honour;The proper form of address in court of a stipendiary magistrate or justice of the peace.
